,EmployeeNumber,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,31-35,36-43,44+,No,Yes,Travel_Frequently,Travel_Rarely,Research & Development,Sales,Life Sciences,Marketing,Medical,Other,Technical Degree,Male
742,1030,44+,No,Travel_Rarely,Research & Development,9,3,Life Sciences,1,Male,3,1,Laboratory Technician,4,Married,2380,4,No,18,3,2,0,8,5,3,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1
743,1032,44+,No,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Female,2,4,Manufacturing Director,4,Single,13726,3,Yes,13,3,1,0,30,4,3,5,3,4,3,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0
744,1033,36-43,Yes,Travel_Rarely,Research & Development,11,2,Medical,1,Female,1,2,Healthcare Representative,2,Married,4777,5,No,15,3,1,0,15,2,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0
745,1034,44+,No,Travel_Frequently,Research & Development,18,4,Medical,3,Male,3,2,Healthcare Representative,2,Married,6385,3,Yes,14,3,4,2,17,3,3,8,7,6,7,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1
746,1035,36-43,No,Non-Travel,Research & Development,7,1,Life Sciences,2,Female,1,5,Research Director,3,Divorced,19973,1,No,22,4,2,2,21,3,3,21,16,5,10,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
747,1036,36-43,No,Travel_Rarely,Sales,3,4,Life Sciences,2,Male,3,2,Sales Executive,4,Single,6861,8,Yes,12,3,3,0,19,1,3,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1
748,1037,18-30,Yes,Non-Travel,Sales,29,2,Medical,2,Male,1,2,Sales Executive,1,Single,4969,8,No,18,3,4,0,7,6,3,2,2,2,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
749,1038,44+,Yes,Travel_Rarely,Sales,2,1,Marketing,1,Female,1,5,Manager,4,Married,19845,1,No,15,3,4,1,33,3,3,32,14,6,9,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0
750,1039,36-43,No,Travel_Rarely,Sales,28,3,Medical,4,Female,4,4,Sales Executive,4,Married,13320,3,Yes,18,3,3,1,23,2,3,12,11,11,11,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0
751,1040,44+,No,Non-Travel,Sales,1,3,Life Sciences,4,Female,3,2,Sales Executive,3,Married,6347,0,No,12,3,1,1,19,3,3,18,7,0,13,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
752,1042,31-35,Yes,Travel_Rarely,Research & Development,16,4,Life Sciences,3,Female,4,1,Laboratory Technician,1,Single,2743,1,No,16,3,3,0,18,1,3,17,13,15,14,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0
753,1043,36-43,No,Travel_Frequently,Research & Development,22,3,Medical,4,Female,3,3,Manufacturing Director,1,Single,10880,1,Yes,13,3,3,0,21,2,3,21,6,2,8,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0
754,1044,31-35,No,Non-Travel,Sales,8,1,Life Sciences,2,Female,2,1,Sales Representative,4,Single,2342,0,No,19,3,4,0,3,2,2,2,2,2,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
755,1045,44+,No,Travel_Rarely,Sales,11,2,Life Sciences,4,Female,3,4,Manager,4,Married,17650,3,No,13,3,2,1,26,4,4,9,3,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0
756,1046,31-35,No,Non-Travel,Research & Development,29,4,Medical,4,Female,3,1,Laboratory Technician,3,Single,4025,9,No,12,3,2,0,10,2,3,8,7,7,7,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
757,1047,31-35,No,Travel_Rarely,Sales,1,4,Marketing,2,Male,4,2,Sales Executive,4,Divorced,9725,0,No,11,3,4,1,16,2,2,15,1,0,9,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1
758,1048,44+,No,Travel_Rarely,Sales,1,2,Technical Degree,2,Male,3,3,Manager,4,Married,11904,3,Yes,14,3,3,1,14,1,1,6,4,0,4,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1
759,1049,44+,No,Travel_Rarely,Human Resources,24,4,Medical,2,Male,3,1,Human Resources,2,Single,2177,1,No,16,3,1,0,6,3,3,6,3,0,4,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
760,1050,44+,No,Travel_Frequently,Sales,2,3,Marketing,3,Female,2,3,Sales Executive,2,Married,7525,2,No,12,3,1,1,30,2,3,15,7,6,12,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0
761,1052,31-35,Yes,Travel_Rarely,Research & Development,15,3,Other,1,Male,3,2,Laboratory Technician,3,Divorced,4834,7,No,14,3,2,1,9,3,2,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1
762,1053,18-30,Yes,Travel_Frequently,Research & Development,2,3,Life Sciences,1,Male,3,1,Research Scientist,1,Married,2042,6,Yes,14,3,2,1,6,2,3,3,2,1,2,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1
763,1055,31-35,No,Travel_Rarely,Sales,10,4,Life Sciences,3,Female,3,1,Sales Representative,3,Married,2220,1,Yes,19,3,4,1,1,2,3,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0
764,1056,18-30,No,Travel_Rarely,Sales,10,1,Medical,4,Male,3,1,Sales Representative,2,Married,1052,1,No,22,4,2,0,1,5,3,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
765,1060,36-43,No,Travel_Frequently,Research & Development,3,4,Other,3,Male,3,1,Research Scientist,3,Married,2821,3,No,16,3,1,1,8,2,3,2,2,2,2,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1
766,1061,44+,No,Travel_Rarely,Research & Development,2,4,Medical,2,Male,3,5,Research Director,3,Married,19237,2,Yes,11,3,4,1,29,2,2,8,1,7,7,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1
767,1062,36-43,No,Travel_Rarely,Research & Development,3,3,Other,4,Female,3,2,Healthcare Representative,2,Single,4107,3,No,15,3,1,0,8,3,2,4,3,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0
768,1066,36-43,No,Travel_Rarely,Sales,26,3,Marketing,3,Male,3,2,Sales Executive,1,Married,8396,1,No,14,3,2,1,8,3,2,7,7,7,5,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
769,1068,18-30,No,Travel_Frequently,Research & Development,1,1,Medical,1,Female,2,1,Research Scientist,3,Divorced,2007,1,No,13,3,3,2,5,5,3,5,3,1,3,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
770,1069,44+,No,Travel_Rarely,Research & Development,1,4,Medical,4,Male,3,5,Research Director,4,Divorced,19627,9,No,17,3,4,2,23,0,3,2,2,2,2,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1
771,1070,44+,No,Travel_Rarely,Sales,2,4,Life Sciences,3,Female,2,3,Sales Executive,3,Married,10686,6,No,11,3,2,1,13,4,3,9,4,7,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0
772,1071,44+,No,Travel_Frequently,Research & Development,9,3,Medical,1,Female,3,1,Research Scientist,3,Married,2942,2,No,19,3,2,1,18,4,3,5,4,0,3,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0
773,1073,31-35,No,Travel_Rarely,Research & Development,12,5,Medical,4,Female,2,3,Manufacturing Director,4,Single,8858,0,No,11,3,2,0,15,2,2,14,8,7,8,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0
774,1074,44+,No,Non-Travel,Research & Development,2,1,Medical,3,Male,2,4,Manager,1,Single,16756,7,No,15,3,2,0,31,3,4,9,7,6,2,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
775,1076,36-43,No,Travel_Rarely,Sales,25,3,Medical,3,Male,2,3,Sales Executive,4,Divorced,10798,5,No,13,3,3,1,18,5,3,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1
776,1077,18-30,Yes,Travel_Frequently,Sales,9,3,Marketing,4,Female,3,1,Sales Representative,4,Single,2323,1,Yes,14,3,2,0,2,3,3,2,2,0,2,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
777,1079,18-30,Yes,Travel_Rarely,Research & Development,10,3,Life Sciences,3,Female,2,1,Laboratory Technician,1,Single,1416,1,No,13,3,1,0,1,6,2,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
778,1080,44+,No,Travel_Rarely,Research & Development,8,4,Life Sciences,4,Female,2,2,Research Scientist,1,Divorced,4615,8,Yes,23,4,1,3,19,2,3,16,13,1,7,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0
779,1081,44+,Yes,Travel_Rarely,Research & Development,4,4,Life Sciences,1,Male,3,1,Research Scientist,3,Married,2461,9,Yes,12,3,3,3,18,2,4,10,0,2,7,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1
780,1082,18-30,Yes,Non-Travel,Research & Development,24,2,Technical Degree,2,Male,2,3,Healthcare Representative,1,Single,8722,1,No,12,3,1,0,10,2,2,10,7,1,9,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
781,1083,18-30,No,Travel_Rarely,Research & Development,1,2,Medical,1,Male,2,1,Laboratory Technician,1,Married,3955,1,No,16,3,1,2,6,2,3,5,3,1,3,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1
782,1084,18-30,No,Travel_Rarely,Research & Development,20,3,Other,3,Male,3,2,Manufacturing Director,1,Married,9957,0,No,15,3,3,1,7,1,2,6,2,0,2,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1
783,1085,36-43,No,Travel_Rarely,Research & Development,7,2,Technical Degree,2,Female,4,1,Research Scientist,3,Married,3376,1,No,13,3,3,0,10,3,3,10,6,0,8,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0
784,1088,36-43,No,Travel_Rarely,Research & Development,17,1,Life Sciences,3,Female,2,3,Healthcare Representative,3,Married,8823,0,No,18,3,1,1,20,4,2,19,9,1,9,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0
785,1092,36-43,No,Travel_Rarely,Research & Development,20,4,Technical Degree,1,Male,3,3,Healthcare Representative,4,Married,10322,4,No,20,4,4,1,14,6,3,11,10,11,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1
786,1094,18-30,No,Non-Travel,Research & Development,8,5,Life Sciences,1,Male,1,1,Laboratory Technician,3,Married,4621,1,No,19,3,4,3,3,4,3,3,2,1,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
787,1096,44+,No,Travel_Frequently,Research & Development,2,1,Life Sciences,4,Male,3,3,Manufacturing Director,2,Married,10976,3,No,18,3,2,1,23,4,3,3,2,1,2,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1
788,1097,18-30,No,Travel_Rarely,Research & Development,10,3,Other,3,Female,3,2,Research Scientist,3,Single,3660,3,No,13,3,4,0,10,4,4,8,7,1,7,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
789,1098,36-43,Yes,Travel_Rarely,Human Resources,1,2,Medical,2,Male,2,3,Human Resources,1,Married,10482,9,No,14,3,4,1,24,1,3,20,6,3,6,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1
790,1099,31-35,No,Travel_Rarely,Research & Development,5,3,Life Sciences,4,Male,2,3,Healthcare Representative,4,Divorced,7119,4,No,15,3,3,1,9,2,3,3,2,1,2,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1
791,1100,31-35,Yes,Travel_Rarely,Sales,4,3,Technical Degree,4,Male,3,3,Sales Executive,1,Single,9582,0,Yes,22,4,1,0,9,2,3,8,7,4,7,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1
792,1101,31-35,Yes,Travel_Frequently,Research & Development,29,4,Medical,1,Female,2,2,Research Scientist,3,Single,4508,1,No,22,4,2,0,14,4,3,13,7,3,8,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0
793,1102,18-30,No,Travel_Rarely,Research & Development,15,2,Life Sciences,1,Male,3,1,Laboratory Technician,3,Divorced,2207,1,No,16,3,4,1,4,5,2,4,2,2,2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
794,1103,31-35,No,Travel_Frequently,Research & Development,3,1,Life Sciences,1,Male,3,2,Healthcare Representative,4,Single,7756,0,No,17,3,3,0,7,1,2,6,2,0,4,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1
795,1105,36-43,No,Travel_Rarely,Sales,10,4,Life Sciences,4,Female,2,2,Sales Executive,4,Divorced,6694,2,Yes,14,3,3,3,8,5,3,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0
796,1106,18-30,Yes,Travel_Rarely,Research & Development,4,1,Technical Degree,4,Male,3,1,Laboratory Technician,4,Married,3691,1,Yes,15,3,2,1,7,3,4,7,7,5,6,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1
797,1107,18-30,Yes,Travel_Rarely,Research & Development,21,3,Medical,1,Male,3,1,Laboratory Technician,3,Divorced,2377,1,No,20,4,3,1,1,0,2,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1
798,1108,31-35,Yes,Travel_Rarely,Research & Development,25,3,Medical,1,Male,2,1,Research Scientist,2,Single,2313,4,Yes,20,4,2,0,5,0,3,2,2,2,2,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1
799,1109,36-43,No,Travel_Rarely,Research & Development,2,2,Medical,4,Male,3,4,Manager,1,Married,17665,0,No,17,3,4,1,23,3,3,22,6,13,7,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1
800,1111,18-30,Yes,Travel_Frequently,Research & Development,1,3,Medical,1,Male,2,1,Laboratory Technician,2,Divorced,2596,1,No,15,3,1,2,1,2,3,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1
801,1113,44+,Yes,Travel_Frequently,Sales,1,4,Other,4,Male,3,2,Sales Executive,3,Single,4728,3,Yes,14,3,4,0,5,4,3,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1
802,1114,31-35,No,Travel_Frequently,Sales,7,3,Life Sciences,4,Female,3,2,Sales Executive,2,Married,4302,0,No,17,3,3,1,4,3,3,3,2,0,2,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0
803,1115,31-35,No,Non-Travel,Research & Development,3,4,Life Sciences,3,Male,2,1,Research Scientist,4,Married,2979,3,No,17,3,4,3,6,2,3,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
804,1116,44+,No,Non-Travel,Research & Development,1,4,Medical,1,Male,4,4,Manager,4,Single,16885,2,No,22,4,3,0,27,3,2,5,4,2,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
805,1117,44+,No,Non-Travel,Sales,9,4,Life Sciences,2,Female,2,2,Sales Executive,3,Married,5593,1,No,13,3,4,1,15,2,3,15,10,4,12,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
806,1118,44+,No,Travel_Rarely,Research & Development,7,4,Life Sciences,2,Male,3,3,Healthcare Representative,2,Single,10445,7,No,19,3,4,0,18,4,3,8,6,4,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1
807,1119,36-43,No,Travel_Rarely,Sales,10,4,Marketing,3,Male,2,3,Sales Executive,3,Divorced,8740,0,Yes,14,3,2,2,9,2,3,8,7,2,7,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
808,1120,18-30,No,Travel_Rarely,Research & Development,28,4,Life Sciences,3,Female,3,1,Research Scientist,4,Divorced,2514,4,No,22,4,1,1,11,1,3,7,5,1,7,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0
809,1121,18-30,No,Travel_Rarely,Research & Development,3,3,Medical,4,Female,3,3,Manufacturing Director,2,Divorced,7655,0,No,17,3,2,3,10,3,2,9,7,1,7,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
810,1124,44+,No,Travel_Rarely,Sales,3,1,Marketing,1,Male,3,4,Manager,3,Married,17465,3,No,12,3,4,1,23,3,3,12,9,4,9,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1
811,1125,36-43,No,Travel_Rarely,Sales,2,2,Marketing,4,Male,3,3,Sales Executive,2,Single,7351,7,No,16,3,3,0,10,2,3,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
812,1126,36-43,No,Travel_Frequently,Research & Development,27,3,Life Sciences,3,Female,3,3,Manufacturing Director,1,Married,10820,8,No,11,3,3,1,18,1,3,8,7,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
813,1127,36-43,Yes,Travel_Frequently,Research & Development,2,3,Life Sciences,1,Male,3,4,Healthcare Representative,4,Divorced,12169,7,No,11,3,4,3,21,4,3,18,7,11,5,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1
814,1128,36-43,No,Travel_Rarely,Research & Development,14,3,Medical,3,Male,2,5,Research Director,3,Single,19626,1,No,14,3,1,0,21,2,4,20,7,4,9,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1
815,1131,18-30,No,Travel_Rarely,Research & Development,1,1,Technical Degree,4,Female,2,1,Research Scientist,2,Single,2070,1,Yes,11,3,3,0,2,6,4,2,2,2,2,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
816,1132,36-43,No,Non-Travel,Research & Development,9,3,Life Sciences,3,Male,3,2,Laboratory Technician,2,Single,6782,9,No,15,3,3,0,9,2,2,5,4,0,3,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1
817,1133,31-35,No,Non-Travel,Research & Development,18,4,Life Sciences,1,Male,3,2,Manufacturing Director,4,Single,7779,2,No,20,4,1,0,18,0,3,11,9,0,9,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
818,1135,18-30,No,Travel_Frequently,Sales,20,3,Life Sciences,3,Male,4,1,Sales Representative,4,Married,2791,0,No,12,3,1,1,3,4,3,2,2,2,2,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1
819,1136,18-30,No,Travel_Rarely,Research & Development,2,1,Life Sciences,1,Male,2,1,Research Scientist,2,Married,3201,0,No,17,3,1,0,6,2,1,5,3,0,4,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
820,1137,31-35,No,Travel_Frequently,Sales,11,2,Marketing,4,Male,3,2,Sales Executive,4,Divorced,4968,1,No,11,3,4,1,5,3,3,5,2,0,2,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1
821,1138,44+,No,Travel_Rarely,Sales,8,4,Technical Degree,4,Male,2,4,Sales Executive,2,Married,13120,6,No,17,3,2,1,22,3,3,9,8,2,3,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1
822,1140,31-35,No,Travel_Frequently,Research & Development,2,2,Life Sciences,4,Male,3,2,Manufacturing Director,3,Single,4033,2,No,11,3,4,0,5,3,2,3,2,0,2,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1
823,1143,18-30,No,Travel_Frequently,Research & Development,10,3,Life Sciences,4,Female,3,1,Research Scientist,2,Divorced,3291,0,No,14,3,4,2,8,2,2,7,5,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
824,1148,36-43,No,Travel_Rarely,Research & Development,29,3,Medical,2,Male,1,2,Laboratory Technician,4,Single,4272,4,No,19,3,1,0,16,3,3,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1
825,1150,18-30,No,Travel_Rarely,Research & Development,8,1,Medical,2,Male,2,2,Manufacturing Director,4,Married,5056,1,Yes,15,3,3,1,10,2,2,10,7,1,2,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1
826,1152,36-43,No,Travel_Rarely,Human Resources,1,3,Human Resources,3,Male,4,1,Human Resources,3,Married,2844,1,No,13,3,4,1,7,2,4,7,6,5,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
827,1154,18-30,No,Travel_Frequently,Research & Development,6,3,Life Sciences,3,Male,2,1,Research Scientist,3,Divorced,2703,1,Yes,14,3,4,1,3,2,3,3,1,0,2,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1
828,1156,18-30,Yes,Non-Travel,Research & Development,8,1,Medical,3,Male,3,1,Laboratory Technician,3,Single,1904,1,No,12,3,4,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
829,1157,31-35,Yes,Travel_Rarely,Sales,9,4,Marketing,1,Female,3,2,Sales Executive,1,Single,8224,0,Yes,17,3,1,0,6,3,3,5,2,0,3,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0
830,1158,36-43,No,Travel_Rarely,Research & Development,12,4,Life Sciences,2,Male,3,1,Laboratory Technician,4,Married,4766,3,Yes,11,3,1,1,6,4,3,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1
831,1160,18-30,Yes,Travel_Frequently,Research & Development,15,3,Medical,3,Male,3,1,Laboratory Technician,3,Married,2610,1,No,12,3,3,1,2,5,2,2,2,2,2,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1
832,1161,36-43,No,Travel_Rarely,Research & Development,25,2,Medical,3,Female,2,2,Healthcare Representative,4,Divorced,5731,7,No,13,3,3,2,9,2,3,6,2,1,3,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0
833,1162,18-30,No,Travel_Rarely,Research & Development,6,3,Life Sciences,4,Male,2,1,Research Scientist,3,Married,2539,1,No,13,3,3,1,4,0,3,4,2,2,2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
834,1163,31-35,No,Travel_Rarely,Sales,9,1,Life Sciences,2,Female,3,2,Sales Executive,3,Married,5714,1,No,20,4,1,0,6,3,2,6,5,1,3,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0
835,1164,31-35,No,Travel_Rarely,Human Resources,8,4,Technical Degree,3,Male,3,1,Human Resources,3,Single,4323,1,No,17,3,2,0,6,2,1,5,4,1,4,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1
836,1165,18-30,Yes,Travel_Rarely,Sales,23,1,Life Sciences,4,Female,2,3,Sales Executive,1,Married,7336,1,No,13,3,1,1,11,3,1,11,8,3,10,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
837,1166,36-43,No,Travel_Frequently,Research & Development,9,4,Medical,2,Female,3,3,Research Director,3,Single,13499,9,No,17,3,3,0,20,3,2,18,7,2,13,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0
838,1167,36-43,Yes,Travel_Frequently,Sales,12,3,Life Sciences,3,Male,3,4,Sales Executive,1,Single,13758,0,Yes,12,3,2,0,22,2,2,21,9,13,14,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1
839,1171,36-43,No,Travel_Rarely,Sales,4,4,Marketing,2,Male,3,2,Sales Executive,1,Single,5155,7,No,13,3,4,0,9,3,4,6,4,1,5,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
840,1172,31-35,No,Travel_Rarely,Research & Development,1,4,Medical,4,Male,2,1,Laboratory Technician,3,Married,2258,6,No,12,3,2,1,10,2,3,8,0,1,7,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1
841,1173,18-30,No,Travel_Rarely,Research & Development,24,3,Medical,4,Male,3,1,Laboratory Technician,2,Single,3597,8,No,22,4,4,0,6,2,3,4,3,1,2,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1
842,1175,18-30,Yes,Travel_Rarely,Research & Development,12,1,Life Sciences,3,Female,3,1,Laboratory Technician,4,Married,2515,1,Yes,11,3,4,0,1,4,2,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
843,1177,18-30,No,Travel_Rarely,Research & Development,3,4,Medical,1,Male,4,1,Laboratory Technician,4,Married,4420,1,No,22,4,2,1,8,2,3,8,7,0,7,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1
844,1179,18-30,No,Travel_Rarely,Sales,10,3,Marketing,3,Male,2,2,Sales Executive,3,Married,6578,1,No,18,3,1,1,10,3,3,10,3,1,4,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1
845,1180,36-43,No,Travel_Frequently,Research & Development,26,2,Medical,3,Female,2,2,Research Scientist,4,Married,4422,3,Yes,13,3,4,1,16,3,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0
846,1182,31-35,No,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,2,3,Manufacturing Director,2,Divorced,10274,2,No,18,3,2,1,15,2,4,7,7,6,4,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1
847,1184,31-35,No,Travel_Frequently,Research & Development,1,3,Medical,4,Male,2,2,Healthcare Representative,1,Single,5343,0,No,20,4,3,0,14,3,3,13,9,4,9,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1
848,1185,31-35,No,Travel_Frequently,Research & Development,4,4,Other,4,Male,2,1,Laboratory Technician,4,Married,2376,1,No,13,3,2,1,2,2,4,2,2,2,2,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1
849,1188,36-43,Yes,Travel_Rarely,Sales,9,3,Marketing,1,Female,1,2,Sales Executive,3,Single,5346,8,No,13,3,2,0,7,2,2,4,3,1,3,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0
850,1190,31-35,No,Non-Travel,Sales,2,1,Life Sciences,3,Female,3,1,Sales Representative,1,Divorced,2827,1,No,12,3,3,3,1,3,3,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
851,1191,44+,No,Travel_Rarely,Research & Development,4,4,Technical Degree,4,Female,3,5,Manager,1,Divorced,19943,4,No,13,3,4,1,28,2,3,5,2,4,2,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0
852,1192,18-30,No,Travel_Rarely,Research & Development,6,1,Medical,2,Female,3,1,Laboratory Technician,4,Married,3131,1,No,13,3,1,1,10,5,3,10,8,0,8,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
853,1193,18-30,No,Travel_Rarely,Research & Development,9,2,Life Sciences,3,Male,3,1,Research Scientist,1,Single,2552,1,No,25,4,3,0,1,4,3,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
854,1195,44+,No,Travel_Rarely,Research & Development,7,3,Medical,1,Female,3,1,Research Scientist,3,Married,4477,4,Yes,19,3,3,1,7,2,2,3,2,0,2,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0
855,1196,36-43,No,Travel_Rarely,Research & Development,1,3,Life Sciences,4,Female,2,2,Manufacturing Director,4,Married,6474,1,No,13,3,2,1,14,2,2,14,8,3,11,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0
856,1198,18-30,No,Travel_Rarely,Research & Development,3,3,Life Sciences,1,Male,2,1,Laboratory Technician,3,Single,3033,1,No,12,3,1,0,2,2,2,2,2,1,2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
857,1200,36-43,Yes,Travel_Rarely,Research & Development,10,4,Life Sciences,3,Male,3,1,Research Scientist,3,Single,2936,1,Yes,11,3,3,0,6,4,3,6,4,0,2,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1
858,1201,44+,No,Travel_Rarely,Research & Development,7,2,Medical,4,Female,3,5,Manager,3,Divorced,18606,3,No,18,3,2,1,26,6,3,7,7,4,7,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0
